District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Votes Secured,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,,
Siraha,Sagarmatha,Terai,East,51,1,Padma Narayan Chaudhary ,Nepali Congress (NC),12183,Elected,37532,"32,46%","10,41%","19,19%","30,87%","0,33",,
Siraha,Sagarmatha,Terai,East,51,1,Muni Sah Sudi,Communist Party of Nepal (Maoists),8277,Not Elected,37532,"22,05%",,,,,,
Siraha,Sagarmatha,Terai,East,52,2,Ram Chandra Yadav ,Communist Party of Nepal (UML),9818,Elected,38986,"25,18%","4,31%",,,,,
Siraha,Sagarmatha,Terai,East,52,2,Surya Narayan Yadav,Nepali Congress (NC),8137,Not Elected,38986,"20,87%",,,,,,
Siraha,Sagarmatha,Terai,East,53,3,Sita Devi Yadav ,Nepali Congress (NC),11142,Elected,39595,"28,14%","8,03%",,,,,
Siraha,Sagarmatha,Terai,East,53,3,Pramod Kumar Yadav,Communist Party of Nepal (UML),7964,Not Elected,39595,"20,11%",,,,,,
Siraha,Sagarmatha,Terai,East,54,4,Ram Chandra Yadav ,Nepali Congress (NC),8805,Elected,35465,"24,83%","0,69%",,,,,
Siraha,Sagarmatha,Terai,East,54,4,Ram Avtar Yadav,Communist Party of Nepal (UML),8560,Not Elected,35465,"24,14%",,,,,,
Siraha,Sagarmatha,Terai,East,55,5,Ram Chandra Yadav ,Communist Party of Nepal (Maoists),15244,Elected,39589,"38,51%","35,94%",,,,,
Siraha,Sagarmatha,Terai,East,55,5,Rampari Kumari Yadav,Nepali Congress (NC),1015,Not Elected,39589,"2,56%",,,,,,
Siraha,Sagarmatha,Terai,East,56,6,Ganesh Kumar Mandan ,Nepali Congress (NC),6322,Elected,41845,"15,11%","1,94%",,,,,
Siraha,Sagarmatha,Terai,East,56,6,Amar Nath Yadav,Communist Party of Nepal (Maoists),5512,Not Elected,41845,"13,17%",,,,,,
Dolakha,Janakpur,Mountain,Central,57,1,Parbat Gurung ,Communist Party of Nepal (UML),16281,Elected,41138,"39,58%","9,68%","19,81%","9,90%",1,,
Dolakha,Janakpur,Mountain,Central,57,1,Zip Chiring Lama,Nepali Congress (NC),12298,Not Elected,41138,"29,89%",,,,,,
Dolakha,Janakpur,Mountain,Central,58,2,Aananda Prasad Pokhrel ,Communist Party of Nepal (UML),14702,Elected,39891,"36,86%","10,13%",,,,,
Dolakha,Janakpur,Mountain,Central,58,2,Tara Bahadur Koirala,Nepali Congress (NC),10663,Not Elected,39891,"26,73%",,,,,,
Ramechhap,Janakpur,Hill,Central,59,1,Aangtaba Sherpa ,Nepali Congress (NC),13615,Elected,38227,"35,62%","9,71%","4,14%","4,14%","0,5",,
Ramechhap,Janakpur,Hill,Central,59,1,Lakshmi Devi Gurung,Communist Party of Nepal (Maoists),9903,Not Elected,38227,"25,91%",,,,,,
Ramechhap,Janakpur,Hill,Central,60,2,Shyam Kumar Shrestha ,Communist Party of Nepal (Maoists),14898,Elected,39392,"37,82%","13,85%",,,,,
Ramechhap,Janakpur,Hill,Central,60,2,Ram Chandra Khadka,Nepali Congress (NC),9444,Not Elected,39392,"23,97%",,,,,,
Sindhuli,Janakpur,Hill,Central,61,1,Ganesh Kumar Pahadi ,Communist Party of Nepal (UML),10901,Elected,32720,"33,32%","9,00%","16,77%","6,49%","0,66",,
Sindhuli,Janakpur,Hill,Central,61,1,Vipin Koirala,Nepali Congress (NC),7956,Not Elected,32720,"24,32%",,,,,,
Sindhuli,Janakpur,Hill,Central,62,2,Mohan Prasad Baral ,Nepali Congress (NC),13905,Elected,40459,"34,37%","3,79%",,,,,
Sindhuli,Janakpur,Hill,Central,62,2,Ganga Narayan ShresthaIrala,Communist Party of Nepal (Maoists),12372,Not Elected,40459,"30,58%",,,,,,
Sindhuli,Janakpur,Hill,Central,63,3,Haribol Prasad Gajurel ,Communist Party of Nepal (Maoists),12770,Elected,32006,"39,90%","11,56%",,,,,
Sindhuli,Janakpur,Hill,Central,63,3,Khadga Bahadur Vaiva,Nepali Congress (NC),9070,Not Elected,32006,"28,34%",,,,,,
Dhanusa,Janakpur,Terai,Central,64,1,Dinesh Prasad Parsaila Yadav ,Nepali Congress (NC),8827,Elected,36661,"24,08%","9,59%","-24,43%","-4,20%","0,16",,
Dhanusa,Janakpur,Terai,Central,64,1,Ramchandra Jha,Communist Party of Nepal (Maoists),5310,Not Elected,36661,"14,48%",,,,,,
Dhanusa,Janakpur,Terai,Central,65,2,Ram Krishna Yadav ,Nepali Congress (NC),9378,Elected,35317,"26,55%","6,33%",,,,,
Dhanusa,Janakpur,Terai,Central,65,2,Ram Chandra Mandal,Communist Party of Nepal (Maoists),7144,Not Elected,35317,"20,23%",,,,,,
Dhanusa,Janakpur,Terai,Central,66,3,imalendra Nidhi ,Nepali Congress (NC),15031,Elected,37832,"39,73%","3,94%",,,,,
Dhanusa,Janakpur,Terai,Central,66,3,Julie Kumari Mahato,Communist Party of Nepal (UML),13539,Not Elected,37832,"35,79%",,,,,,
Dhanusa,Janakpur,Terai,Central,67,4,Sanjaya Kumar Sah ,Sadhvawana Party,12666,Elected,38122,"33,22%","27,79%",,,,,
Dhanusa,Janakpur,Terai,Central,67,4,Sri Prasad Sah,Communist Party of Nepal (UML),2072,Not Elected,38122,"5,44%",,,,,,
Dhanusa,Janakpur,Terai,Central,68,5,PR.DR. Chandra Mohan Yadav ,Nepali Congress (NC),11705,Elected,37764,"31,00%","4,45%",,,,,
Dhanusa,Janakpur,Terai,Central,68,5,Ghubir Mahaseth,Communist Party of Nepal (UML),10023,Not Elected,37764,"26,54%",,,,,,
Dhanusa,Janakpur,Terai,Central,69,6,Prem Kishor Prasad Sah Teli ,Nepali Congress (NC),7725,Elected,38355,"20,14%","0,96%",,,,,
Dhanusa,Janakpur,Terai,Central,69,6,Yoga Narayan Yadav,Communist Party of Nepal (UML),7356,Not Elected,38355,"19,18%",,,,,,
Dhanusa,Janakpur,Terai,Central,70,7,Shatrudhan Mahato ,Communist Party of Nepal (UML),8827,Elected,39291,"22,47%","0,85%",,,,,
Dhanusa,Janakpur,Terai,Central,70,7,N/A,Nepali Congress (NC),8492,Not Elected,39291,"21,61%",,,,,,
Mahottari,Janakpur,Terai,Central,71,1,Giriraj Mani Pokharel ,Communist Party of Nepal (Maoists),10895,Elected,35431,"30,75%","5,60%","-2,13%","-4,11%","0,6",,
Mahottari,Janakpur,Terai,Central,71,1,Chiranjeevi Hamal,Nepali Congress (NC),8911,Not Elected,35431,"25,15%",,,,,,
Mahottari,Janakpur,Terai,Central,72,2,Kiran Yadav ,Nepali Congress (NC),7357,Elected,34354,"21,42%","14,10%",,,,,
Mahottari,Janakpur,Terai,Central,72,2,Manju Kumari Yadav,Communist Party of Nepal (UML),2514,Not Elected,34354,"7,32%",,,,,,
Mahottari,Janakpur,Terai,Central,73,3,Ram Dayal Mandal ,Communist Party of Nepal (UML),7849,Elected,35257,"22,26%","8,63%",,,,,
Mahottari,Janakpur,Terai,Central,73,3,Ramchandra Tiwari,Nepali Congress (NC),4806,Not Elected,35257,"13,63%",,,,,,
Mahottari,Janakpur,Terai,Central,74,4,Chandeshwor Jha ,Independent,3062,Elected,32069,"9,55%","0,00%",,,,,
Mahottari,Janakpur,Terai,Central,74,4,N/A,N/A,n/A,n/a,32069,"0,00%",,,,,,
Mahottari,Janakpur,Terai,Central,75,5,Dip Narayan Sah ,Communist Party of Nepal (UML),7276,Elected,36096,"20,16%","4,04%",,,,,
Mahottari,Janakpur,Terai,Central,75,5,Mahendra Kumar Rai,Nepali Congress (NC),5818,Not Elected,36096,"16,12%",,,,,,
Mahottari,Janakpur,Terai,Central,new,new,Sitaram Bhandari ,Nepali Congress (NC),9480,Elected,36805,"25,76%","6,30%",,,,,
Mahottari,Janakpur,Terai,Central,new,new,Bharat Prasad Sah,Communist Party of Nepal (Maoists),7162,Not Elected,36805,"19,46%",,,,,,
Sarlahi,Janakpur,Terai,Central,76,1,Sambhu Lal Shrestha ,Communist Party of Nepal (Maoists),9476,Elected,40684,"23,29%","12,01%","-38,32%","-2,27%","0,33",,
Sarlahi,Janakpur,Terai,Central,76,1,Ramchandra Singh Kushwaha,Tarai Madhesh Sadbhavana Partei Nepal,4588,Not Elected,40684,"11,28%",,,,,,
Sarlahi,Janakpur,Terai,Central,77,2,Ram Chandra Chaudhary ,Nepali Congress (NC),6704,Elected,43797,"15,31%","0,79%",,,,,
Sarlahi,Janakpur,Terai,Central,77,2,Surendra Kumar Lama,Communist Party of Nepal (UML),6359,Not Elected,43797,"14,52%",,,,,,
Sarlahi,Janakpur,Terai,Central,78,3,Hari Prasad Upreti ,Communist Party of Nepal (UML),12808,Elected,45028,"28,44%","17,21%",,,,,
Sarlahi,Janakpur,Terai,Central,78,3,Guru Prasad Burlakoti,"Madhesi People's Rights Forum, Nepal",5059,Not Elected,45028,"11,24%",,,,,,
Sarlahi,Janakpur,Terai,Central,79,4,Mahendra Raya Yadav ,Tarai Madhesh Sadbhavana Partei Nepal,11534,Elected,44595,"25,86%","7,14%",,,,,
Sarlahi,Janakpur,Terai,Central,79,4,Raj Narayan Sah,Communist Party of Nepal (UML),8348,Not Elected,44595,"18,72%",,,,,,
Sarlahi,Janakpur,Terai,Central,80,5,Jangi Lal Raya ,Tarai Madhes Loktantrik Party,9767,Elected,44595,"21,90%","20,08%",,,,,
Sarlahi,Janakpur,Terai,Central,80,5,Abula hasana nu,Communist Party of Nepal (Maoists),812,Not Elected,44595,"1,82%",,,,,,
Sarlahi,Janakpur,Terai,Central,81,6,Tarai Madhes Loktantrik Party,Nepali Congress (NC),17400,Elected,43028,"40,44%","39,53%",,,,,
Sarlahi,Janakpur,Terai,Central,81,6,Nanda Lal Rai Yadav,Communist Party of Nepal (Maoists),389,Not Elected,43028,"0,90%",,,,,,
Rasuwa,Bagmati,Mountain,Central,82,1,Janardan Dhakal ,Communist Party of Nepal (UML),6628,Elected,19207,"34,51%","8,75%","8,75%","8,75%",1,,
Rasuwa,Bagmati,Mountain,Central,82,1,Lama Karpu Tamang,Nepali Congress (NC),4948,Not Elected,19207,"25,76%",,,,,,
Dhading,Bagmati,Hill,Central,83,1,Dhan Bahadur Ghale ,Communist Party of Nepal (UML),8663,Elected,33187,"26,10%","3,03%","36,56%","12,19%",1,,
Dhading,Bagmati,Hill,Central,83,1,Prasad Ruwali,Nepali Congress (NC),7656,Not Elected,33187,"23,07%",,,,,,
Dhading,Bagmati,Hill,Central,84,2,Guru Prasad Burlakoti ,Communist Party of Nepal (UML),20236,Elected,51006,"39,67%","4,12%",,,,,
Dhading,Bagmati,Hill,Central,84,2,Ram Nath Adhikari,Nepali Congress (NC),18136,Not Elected,51006,"35,56%",,,,,,
Dhading,Bagmati,Hill,Central,85,3,Rajendra Prasad Pandey ,Communist Party of Nepal (UML),22196,Elected,51107,"43,43%","29,40%",,,,,
Dhading,Bagmati,Hill,Central,85,3,Buddha Lakshmi-Lama,Nepali Congress (NC),7168,Not Elected,51107,"14,03%",,,,,,
Nuwakot,Bagmati,Hill,Central,86,1,Arjun Narsing K.C. ,Nepali Congress (NC),17346,Elected,43284,"40,07%","18,95%","-49,18%","-16,39%",0,,
Nuwakot,Bagmati,Hill,Central,86,1,Subedi,Communist Party of Nepal (Maoists),9145,Not Elected,43284,"21,13%",,,,,,
Nuwakot,Bagmati,Hill,Central,87,2,Dr. Ramsharan Mahat ,Nepali Congress (NC),18831,Elected,40011,"47,06%","8,99%",,,,,
Nuwakot,Bagmati,Hill,Central,87,2,Bahadur Tamang,Communist Party of Nepal (Maoists),15233,Not Elected,40011,"38,07%",,,,,,
Nuwakot,Bagmati,Hill,Central,88,3,Bahadur Singh Lama (Tamang) ,Nepali Congress (NC),17495,Elected,38705,"45,20%","21,24%",,,,,
Nuwakot,Bagmati,Hill,Central,88,3,Narayan Prasad Khatiwada,Communist Party of Nepal (UML),9275,Not Elected,38705,"23,96%",,,,,,
Kathmandu,Bagmati,Hill,Central,89,1,Prakash Man Singh ,Nepali Congress (NC),15138,Elected,30026,"50,42%","36,88%","-79,72%","-6,25%","0,3",,
Kathmandu,Bagmati,Hill,Central,98,1,Renu Dahal,Communist Party of Nepal (Maoists),4064,Not Elected,30026,"13,53%",,,,,,
Kathmandu,Bagmati,Hill,Central,90,2,Madhav Kumar Nepal ,Communist Party of Nepal (UML),21748,Elected,51631,"42,12%","17,96%",,,,,
Kathmandu,Bagmati,Hill,Central,90,2,Pratima Gautam,Nepali Congress (NC),12475,Not Elected,51631,"24,16%",,,,,,
Kathmandu,Bagmati,Hill,Central,91,3,Rameshwor Phuyal ,Communist Party of Nepal (UML),13104,Elected,37151,"35,27%","2,31%",,,,,
