District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Total Votes,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,
Jhapa,Mechi,Terai,Eastern,10,3,Krishna Prasad Sitaula,Nepali Congress,14049,Not Elected,38054,"0,369185894",,,,,
Jhapa,Mechi,Terai,Eastern,11,4,Dharma Sila Chapagain,Communist Party of Nepal (Maoists),19289,Elected,52399,"0,368117712","0,072272372",,,,
Jhapa,Mechi,Terai,Eastern,11,4,Chakra Prasad Bastola,Nepali Congress,15502,Not Elected,52399,"0,295845341",,,,,
Jhapa,Mechi,Terai,Eastern,12,5,Keshav Kumar Budhathoki,Nepali Congress,16466,Elected,58137,"0,283227549","0,015790288",,,,
Jhapa,Mechi,Terai,Eastern,12,5,Harka Bahadur Khadka,Communist Party of Nepal (Maoists),15548,Not Elected,58137,"0,26743726",,,,,
Jhapa,Mechi,Terai,Eastern,13,6,Dipak Karki,Communist Party of Nepal (UML),14196,Elected,41720,"0,340268456","0,091802493",,,,
Jhapa,Mechi,Terai,Eastern,13,6,Surya Narayan Singh Tajpuriya,Nepali Congress,10366,Not Elected,41720,"0,248465964",,,,,
Jhapa,Mechi,Terai,Eastern,14,7,Bishwodip Lingden Limbu,Communist Party of Nepal (Maoists),16099,Elected,51263,"0,314047169","0,087665568",,,,
Jhapa,Mechi,Terai,Eastern,14,7,Mahendra Kumari Subba,Nepali Congress,11605,Not Elected,51263,"0,226381601",,,,,
Sankhuwasabha,Kosi,Mountain,Eastern,15,1,Purna Prasad Rai,Communist Party of Nepal (Maoists),12948,Elected,36001,"0,359656676","0,16227327","24,27%","12,13%",1,
Sankhuwasabha,Kosi,Mountain,Eastern,15,1,Tanka Prasad Rai,Nepali Congress,7106,Not Elected,36001,"0,197383406",,,,,
Sankhuwasabha,Kosi,Mountain,Eastern,16,2,Dambar Bahadur Khadka,Communist Party of Nepal (UML),10870,Elected,30812,"0,352784629","0,080390757",,,,
Sankhuwasabha,Kosi,Mountain,Eastern,16,2,Gopal Raj Pahadi,Nepali Congress,8393,Not Elected,30812,"0,272393873",,,,,
Terhathum,Kosi,Hill,Eastern,17,1,Tulsi Subba,Nepali Congress,19113,Elected,45704,"0,418190968","0,081765272","-8,18%","-8,18%",0,
Terhathum,Kosi,Hill,Eastern,17,1,Bhawani Prasad Khapung,Communist Party of Nepal (UML),15376,Not Elected,45704,"0,336425696",,,,,
Bhojpur,Kosi,Hill,Eastern,18,1,Padam Bahadur Rai,Communist Party of Nepal (Maoists),15796,Elected,38714,"0,408017771","0,057188614","32,02%","16,01%",1,
Bhojpur,Kosi,Hill,Eastern,18,1,Gyanendra Bahadur Kark,Nepali Congress,13582,Not Elected,38714,"0,350829157",,,,,
Bhojpur,Kosi,Hill,Eastern,19,2,Sudan Rai,Communist Party of Nepal (Maoists),17578,Elected,37483,"0,468959262","0,263025905",,,,
Bhojpur,Kosi,Hill,Eastern,19,2,Nanda Mani Rai,Nepali Congress,7719,Not Elected,37483,"0,205933356",,,,,
Dhankuta,Kosi,Hill,Eastern,20,1,Hem Raj Bhandari,Communist Party of Nepal (Maoists),17202,Elected,36805,"0,467382149","0,300855862","49,87%","24,94%","1,0",
Dhankuta,Kosi,Hill,Eastern,20,1,Manohar Narayan Shrestha,Nepali Congress,6129,Not Elected,36805,"0,166526287",,,,,
Dhankuta,Kosi,Hill,Eastern,21,2,Hari Raj Limbu,Communist Party of Nepal (Maoists),12299,Elected,34703,"0,3544074","0,197879146",,,,
Dhankuta,Kosi,Hill,Eastern,21,2,Surya Bahadur Thap,Rastriya Janshakti Party (RPP),5432,Not Elected,34703,"0,156528254",,,,,
Morang,Kosi,Terai,Eastern,22,1,Amod Prasad Updhaya,Nepali Congress,11105,Elected,44712,"0,248367329","0,051574521","-73,23%","-12,62%","0,44",
Morang,Kosi,Terai,Eastern,22,1,Ganga Devi Dangi,Communist Party of Nepal (UML),8799,Not Elected,44712,"0,196792807",,,,,
Morang,Kosi,Terai,Eastern,23,2,Lal Bahadur Susling Magar,Communist Party of Nepal (Maoists),16567,Elected,42318,"0,391488256","0,152984546",,,,
Morang,Kosi,Terai,Eastern,23,2,Basant Bhattarai,Nepali Congress,10093,Not Elected,42318,"0,23850371",,,,,
Morang,Kosi,Terai,Eastern,24,3,Sabitri Kumar Kafle,Communist Party of Nepal (Maoists),15863,Elected,44072,"0,359933745","0,073447994",,,,
Morang,Kosi,Terai,Eastern,24,3,Satya Narayan Bhagat Tharu,Nepali Congress,12626,Not Elected,44072,"0,286485751",,,,,
Morang,Kosi,Terai,Eastern,25,4,Rama Nand Mandal,"Madhesi People's Rights Forum, Nepal",9894,Elected,41621,"0,237716537","0,01153264",,,,
Morang,Kosi,Terai,Eastern,25,4,Shiv Kumar Mandal (Kewot),Communist Party of Nepal (Maoists),9414,Not Elected,41621,"0,226183898",,,,,
Morang,Kosi,Terai,Eastern,26,5,Upendra Yadav,"Madhesi People's Rights Forum, Nepal",27508,Elected,46667,"0,589452932","0,511967772",,,,
Morang,Kosi,Terai,Eastern,26,5,Rajendra Prasad Gupta,Communist Party of Nepal (UML),3616,Not Elected,46667,"0,077485161",,,,,
Morang,Kosi,Terai,Eastern,27,6,Bhim Raj Chaudhari Rajbansi,"Madhesi People's Rights Forum, Nepal",17086,Elected,41616,"0,410563245","0,23582276",,,,
Morang,Kosi,Terai,Eastern,27,6,Mahesh Regmi,Communist Party of Nepal (UML),7272,Not Elected,41616,"0,174740484",,,,,
Morang,Kosi,Terai,Eastern,28,7,Bijaya Kumar Gachchhadar,"Madhesi People's Rights Forum, Nepal",18416,Elected,38747,"0,475288409","0,326425272",,,,
Morang,Kosi,Terai,Eastern,28,7,Satya Narayan Chaudhari,Communist Party of Nepal (UML),5768,Not Elected,38747,"0,148863138",,,,,
Morang,Kosi,Terai,Eastern,29,8,Gopi Nahadur Sarki (Achhami),Communist Party of Nepal (Maoists),14375,Elected,42221,"0,340470382","0,127851069",,,,
Morang,Kosi,Terai,Eastern,29,8,Ashok Koirala,Nepali Congress,8977,Not Elected,42221,"0,212619313",,,,,
Morang,Kosi,Terai,Eastern,30,9,Narendra Bahadur Dhimal,Communist Party of Nepal (Maoists),14930,Elected,42411,"0,352031313","0,050765132",,,,
Morang,Kosi,Terai,Eastern,30,9,Ding Bahadur Limbu,Nepali Congress,12777,Not Elected,42411,"0,301266181",,,,,
Sunsari,Kosi,Terai,Eastern,31,1,Kiran Kumar Rai,Communist Party of Nepal (Maoists),18620,Elected,40848,"0,455836271","0,295852918","-45,28%","-15,09%","0,5",
Sunsari,Kosi,Terai,Eastern,31,1,Uma Bastola,Nepali Congress,6535,Not Elected,40848,"0,159983353",,,,,
Sunsari,Kosi,Terai,Eastern,32,2,Dharma Raj Niraula,Communist Party of Nepal (UML),15636,Elected,51060,"0,306227967","0,085957697",,,,
Sunsari,Kosi,Terai,Eastern,32,2,Narendra Kumar Chaudhari,Rastriya Janshakti Party (RPP),11247,Not Elected,51060,"0,22027027",,,,,
Sunsari,Kosi,Terai,Eastern,33,3,Bijaya Kumar Gachchhadar,"Madhesi People's Rights Forum, Nepal",23769,Elected,48301,"0,492101613","0,373615453",,,,
Sunsari,Kosi,Terai,Eastern,33,3,Srikumari Tharuni,Communist Party of Nepal (UML),5723,Not Elected,48301,"0,11848616",,,,,
Sunsari,Kosi,Terai,Eastern,34,4,Muga Lal Mahato,"Madhesi People's Rights Forum, Nepal",19945,Elected,45060,"0,442632046","0,261273857",,,,
Sunsari,Kosi,Terai,Eastern,34,4,Parshu Ram Yadav,Communist Party of Nepal (UML),8172,Not Elected,45060,"0,181358189",,,,,
Sunsari,Kosi,Terai,Eastern,35,5,Upendra Yadav,"Madhesi People's Rights Forum, Nepal",23939,Elected,43876,"0,545605798","0,331616373",,,,
Sunsari,Kosi,Terai,Eastern,35,5,Mohammad Mahafuj Ansari,Communist Party of Nepal (UML),9389,Not Elected,43876,"0,213989425",,,,,
Sunsari,Kosi,Terai,Eastern,36,6,Bhim Prasad Acharya,Communist Party of Nepal (UML),15664,Elected,43066,"0,363720801","0,131937027",,,,
Sunsari,Kosi,Terai,Eastern,36,6,Ram Bahadur Basnet,Nepali Congress,9982,Not Elected,43066,"0,231783774",,,,,
Solukhumbu,Sagarmatha,Mountain,Eastern,37,1,Gopal Kirati,Communist Party of Nepal (Maoists),19095,Elected,37327,"0,511559997","0,258820693","25,88%","25,88%",1,
Solukhumbu,Sagarmatha,Mountain,Eastern,37,1,Bal Bahadur K.C.,Nepali Congress,9434,Not Elected,37327,"0,252739304",,,,,
Khotang,Sagarmatha,Hill,Eastern,38,1,Ram Kumar Rai,Communist Party of Nepal (Maoists),16687,Elected,42101,"0,396356381","0,181895917","39,26%","19,63%",1,
Khotang,Sagarmatha,Hill,Eastern,38,1,Subash Kumar Pokhrel,Nepali Congress,9029,Not Elected,42101,"0,214460464",,,,,
Khotang,Sagarmatha,Hill,Eastern,39,2,Samita Karki,Communist Party of Nepal (Maoists),18168,Elected,43018,"0,422334837","0,210748989",,,,
Khotang,Sagarmatha,Hill,Eastern,39,2,Shiv Kumar Basnet,Nepali Congress,9102,Not Elected,43018,"0,211585848",,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,40,1,Keshav Rai,Communist Party of Nepal (Maoists),11635,Elected,32608,"0,356814279","0,079183023","17,07%","8,53%","1,0",
Okhaldhunga,Sagarmatha,Hill,Eastern,40,1,Bal Krishna Dahal,Nepali Congress,9053,Not Elected,32608,"0,277631256",,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,41,2,Bal Krishna Dhungel,Communist Party of Nepal (Maoists),11069,Elected,32730,"0,338191262","0,09147571",,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,41,2,Bala Raj Karki,Nepali Congress,8075,Not Elected,32730,"0,246715551",,,,,
Udayapur,Sagarmatha,Hill,Eastern,42,1,Narayan Khadka,Nepali Congress,14468,Elected,41450,"0,349047045","0,029722557","22,47%","9,75%",0.66,
Udayapur,Sagarmatha,Hill,Eastern,42,1,Rajan Kirati,Communist Party of Nepal (Maoists),13236,Not Elected,41450,"0,319324487",,,,,
Udayapur,Sagarmatha,Hill,Eastern,43,2,Mani Khambu Kirati,Communist Party of Nepal (Maoists),13598,Elected,38542,"0,352809922","0,093222978",,,,
Udayapur,Sagarmatha,Hill,Eastern,43,2,Bidur Basnet,Nepali Congress,10005,Not Elected,38542,"0,259586944",,,,,
Udayapur,Sagarmatha,Hill,Eastern,44,3,Mohan Bahadur Khatri,Communist Party of Nepal (Maoists),14775,Elected,35177,"0,420018762","0,161213293",,,,
Udayapur,Sagarmatha,Hill,Eastern,44,3,Narayan Bahadur Karki,Nepali Congress,9104,Not Elected,35177,"0,258805469",,,,,
Saptari,Sagarmatha,Terai,Eastern,45,1,Hem Raj Tated,"Madhesi People's Rights Forum, Nepal",9879,Elected,36320,"0,271998899","0,056580396","-57,02%","-14,26%","0,00",
Saptari,Sagarmatha,Terai,Eastern,45,1,Suryanath Prasad Yadav,Communist Party of Nepal (Maoists),7824,Not Elected,36320,"0,215418502",,,,,
Saptari,Sagarmatha,Terai,Eastern,46,2,Jaya Prakash Prasad Gupta,"Madhesi People's Rights Forum, Nepal",8515,Elected,36475,"0,233447567","0,120520905",,,,
Saptari,Sagarmatha,Terai,Eastern,46,2,Ashok Kumar Mandal,Communist Party of Nepal (Maoists),4119,Not Elected,36475,"0,112926662",,,,,
Saptari,Sagarmatha,Terai,Eastern,47,3,Mahesh Prasad Yadav,Sadhvawana Party,10302,Elected,,#DIV/0!,#DIV/0!,,,,
Saptari,Sagarmatha,Terai,Eastern,47,3,n/A,n/A,n/a,Not Elected,,#WERT!,,,,,
Saptari,Sagarmatha,Terai,Eastern,48,4,Renu Kumari Yadav,"Madhesi People's Rights Forum, Nepal",12681,Elected,45833,"0,276678376","0,162044815",,,,
Saptari,Sagarmatha,Terai,Eastern,48,4,Jagadish Prasad Saha,Communist Party of Nepal (UML),5254,Not Elected,45833,"0,114633561",,,,,
Saptari,Sagarmatha,Terai,Eastern,49,5,Sadrul Miya Haq,Independent,10603,Elected,,#DIV/0!,#DIV/0!,,,,
Saptari,Sagarmatha,Terai,Eastern,49,5,n/A,n/A,n/a,Not Elected,,#WERT!,,,,,
Saptari,Sagarmatha,Terai,Eastern,50,6,Mrigendra Kumar Singh Yadav,"Madhesi People's Rights Forum, Nepal",14028,Elected,39287,"0,357064678","0,231068801",,,,
Saptari,Sagarmatha,Terai,Eastern,50,6,Rameshwor Mandal,Communist Party of Nepal (UML),4950,Not Elected,39287,"0,125995876",,,,,
Siraha,Sagarmatha,Terai,Eastern,51,1,Laxman Mahato,"Madhesi People's Rights Forum, Nepal",9814,Elected,39817,"0,246477635","0,087575659","-49,68%","5,42%",0.17,
Siraha,Sagarmatha,Terai,Eastern,51,1,Ganga Prasad Yadav,Communist Party of Nepal (UML),6327,Not Elected,39817,"0,158901977",,,,,
Siraha,Sagarmatha,Terai,Eastern,52,2,Raj Lal Yadav,"Madhesi People's Rights Forum, Nepal",16684,Elected,42400,"0,393490566","0,190636792",,,,
Siraha,Sagarmatha,Terai,Eastern,52,2,Ram Chandra Yadav,Communist Party of Nepal (UML),8601,Not Elected,42400,"0,202853774",,,,,
Siraha,Sagarmatha,Terai,Eastern,53,3,Bijaya Kumar Yadav,"Madhesi People's Rights Forum, Nepal",14884,Elected,42461,"0,350533431","0,161442265",,,,
Siraha,Sagarmatha,Terai,Eastern,53,3,Pramod Kumar Yadav,Communist Party of Nepal (UML),8029,Not Elected,42461,"0,189091166",,,,,
Siraha,Sagarmatha,Terai,Eastern,54,4,Shatrughan Prasad Singh Koiree,"Madhesi People's Rights Forum, Nepal",11779,Elected,37680,"0,312606157","0,085907643",,,,
Siraha,Sagarmatha,Terai,Eastern,54,4,Ram Aautar Yadav,Communist Party of Nepal (UML),8542,Not Elected,37680,"0,226698514",,,,,
Siraha,Sagarmatha,Terai,Eastern,55,5,Mahendra Paswan,Communist Party of Nepal (Maoists),12110,Elected,41804,"0,289685198","0,191919434",,,,
Siraha,Sagarmatha,Terai,Eastern,55,5,Ram Kumar Mandal,Tarai Madhes Loktantrik Party,4087,Not Elected,41804,"0,097765764",,,,,
Siraha,Sagarmatha,Terai,Eastern,56,6,Raj Kishwor Yadav,"Madhesi People's Rights Forum, Nepal",15551,Elected,45575,"0,341217773","0,163203511",,,,
Siraha,Sagarmatha,Terai,Eastern,56,6,Fulgen Nayak Saha Sudi,Communist Party of Nepal (Maoists),8113,Not Elected,45575,"0,178014262",,,,,
Dolakha,Janakpur,Mountain,Central,57,1,Devi Khadka,Communist Party of Nepal (Maoists),22182,Elected,52309,"0,424057046","0,181230763","40,49%","20,25%",1,
Dolakha,Janakpur,Mountain,Central,57,1,Bhim Bahadur Tamang,Nepali Congress,12702,Not Elected,52309,"0,242826282",,,,,
Dolakha,Janakpur,Mountain,Central,58,2,Hem Bahadur Shrestha,Communist Party of Nepal (Maoists),18793,Elected,44130,"0,425855427","0,223702697",,,,
Dolakha,Janakpur,Mountain,Central,58,2,Tara Bahadur Koirala,Nepali Congress,8921,Not Elected,44130,"0,202152731",,,,,
Ramechhap,Janakpur,Hill,Central,59,1,Tara Narayan Shrestha,Communist Party of Nepal (Maoists),19910,Elected,41179,"0,483498871","0,234707011","73,58%","36,79%","1,0",
Ramechhap,Janakpur,Hill,Central,59,1,Aangtawa Sherpa,Nepali Congress,10245,Not Elected,41179,"0,24879186",,,,,
Ramechhap,Janakpur,Hill,Central,60,2,Dilliman Tamang,Communist Party of Nepal (Maoists),31121,Elected,51283,"0,606848273","0,501043231",,,,
Ramechhap,Janakpur,Hill,Central,60,2,Ram Hari Dhungel,Nepali Congress,5426,Not Elected,51283,"0,105805043",,,,,
Sindhuli,Janakpur,Hill,Central,61,1,Bisham Lal Adhikari,Communist Party of Nepal (UML),12058,Elected,34858,"0,345917723","0,087727351","50,74%","16,91%","1,00",
Sindhuli,Janakpur,Hill,Central,61,1,Binod Kumar Gurung,Nepali Congress,9000,Not Elected,34858,"0,258190372",,,,,
Sindhuli,Janakpur,Hill,Central,62,2,Chandra Prasad Gajurel,Communist Party of Nepal (Maoists),18398,Elected,42359,"0,434335088","0,188791048",,,,
Sindhuli,Janakpur,Hill,Central,62,2,Ujjwal Prasad Baral,Nepali Congress,10401,Not Elected,42359,"0,24554404",,,,,
Sindhuli,Janakpur,Hill,Central,63,3,Neer Kumari Kunwar,Communist Party of Nepal (Maoists),14944,Elected,36527,"0,409122019","0,230842938",,,,
Sindhuli,Janakpur,Hill,Central,63,3,Deep Sikha Sharma (Dhakal),Nepali Congress,6512,Not Elected,36527,"0,178279081",,,,,
Dhanusa,Janakpur,Terai,Central,64,1,Ram Chandra Jha,Communist Party of Nepal (UML),12183,Elected,37355,"0,326141079","0,159898273","-9,06%","0,65%","0,43",
Dhanusa,Janakpur,Terai,Central,64,1,Gajadhar Rohita Yadav,"Madhesi People's Rights Forum, Nepal",6210,Not Elected,37355,"0,166242806",,,,,
Dhanusa,Janakpur,Terai,Central,65,2,Ram Krishna Yadav,Nepali Congress,9825,Elected,34291,"0,286518328","0,046834446",,,,
Dhanusa,Janakpur,Terai,Central,65,2,Ram Chandra Mandal,Communist Party of Nepal (Maoists),8219,Not Elected,34291,"0,239683882",,,,,
Dhanusa,Janakpur,Terai,Central,66,3,Bimalendra Nidhi,Nepali Congress,15582,Elected,39434,"0,395141249","0,14317594",,,,
Dhanusa,Janakpur,Terai,Central,66,3,Hari Dev Mandal,Communist Party of Nepal (UML),9936,Not Elected,39434,"0,251965309",,,,,
Dhanusa,Janakpur,Terai,Central,67,4,Sanjay Kumar Shah,"Madhesi People's Rights Forum, Nepal",13422,Elected,37624,"0,356740378","0,110036147",,,,
Dhanusa,Janakpur,Terai,Central,67,4,Raghu Mahaseth,Communist Party of Nepal (UML),9282,Not Elected,37624,"0,246704231",,,,,
Dhanusa,Janakpur,Terai,Central,68,5,Ram Baran Yadav,Nepali Congress,10392,Elected,34923,"0,297568937","0,140537754",,,,
Dhanusa,Janakpur,Terai,Central,68,5,Ramratan Yadav,Communist Party of Nepal (UML),5484,Not Elected,34923,"0,157031183",,,,,
Dhanusa,Janakpur,Terai,Central,69,6,Ram Kumari Devi Yadav,Communist Party of Nepal (Maoists),11570,Elected,36908,"0,313482172","0,071989813",,,,
Dhanusa,Janakpur,Terai,Central,69,6,Prem Kishor Prasad Shah,Nepali Congress,8913,Not Elected,36908,"0,241492359",,,,,
Dhanusa,Janakpur,Terai,Central,70,7,Shatrudhan Mahato,Communist Party of Nepal (UML),11620,Elected,35160,"0,330489192","0,118060296",,,,
Dhanusa,Janakpur,Terai,Central,70,7,Ananda Prasad Dhungana,Nepali Congress,7469,Not Elected,35160,"0,212428896",,,,,
Mahottari,Janakpur,Terai,Central,71,1,Gireeraj Mani Pokhrel,Janamorcha Nepal,10196,Elected,,#DIV/0!,#DIV/0!,"-7,89%","7,41%",0.2,
Mahottari,Janakpur,Terai,Central,71,1,n/A,n/A,n/a,n/a,,#WERT!,,,,,
Mahottari,Janakpur,Terai,Central,72,2,Hari Narayan Yadav,"Madhesi People's Rights Forum, Nepal",7457,Elected,33265,"0,224169548","0,087689764",,,,
Mahottari,Janakpur,Terai,Central,72,2,Dr. Raj Kishor Shah,Communist Party of Nepal (UML),4540,Not Elected,33265,"0,136479784",,,,,
Mahottari,Janakpur,Terai,Central,73,3,Ganesh Tiwari Nepali,Tarai Madhes Loktantrik Party,11390,Elected,35834,"0,317854552","0,001032539",,,,
Mahottari,Janakpur,Terai,Central,73,3,Ram Dayal Mandal,Communist Party of Nepal (UML),11353,Not Elected,35834,"0,316822013",,,,,
Mahottari,Janakpur,Terai,Central,74,4,RamKumar Sharma,Tarai Madhes Loktantrik Party,9564,Elected,36512,"0,26194128","0,063978966",,,,
Mahottari,Janakpur,Terai,Central,74,4,Rajendra Shah,Communist Party of Nepal (Maoists),7228,Not Elected,36512,"0,197962314",,,,,
Mahottari,Janakpur,Terai,Central,75,5,Kaushal Kumar Raya Yadav,"Madhesi People's Rights Forum, Nepal",8609,Elected,38212,"0,225295719","0,051397467",,,,
Mahottari,Janakpur,Terai,Central,75,5,Dip Narayan ShahTeli,Communist Party of Nepal (UML),6645,Not Elected,38212,"0,173898252",,,,,
Sarlahi,Janakpur,Terai,Central,76,1,Prakesh Pakhrin,Communist Party of Nepal (UML),12726,Elected,43969,"0,28943119","0,12515636","-10,79%","-5,39%",0.5,
Sarlahi,Janakpur,Terai,Central,76,1,Ram Chandra Singh Kushwah,Tarai Madhes Loktantrik Party,7223,Not Elected,43969,"0,16427483",,,,,
Sarlahi,Janakpur,Terai,Central,77,2,Muhamad Rijwan Ansari,Communist Party of Nepal (UML),9156,Elected,51510,"0,177751893","0,062085032",,,,
Sarlahi,Janakpur,Terai,Central,77,2,Binay Kumar Karna,Tarai Madhes Loktantrik Party,5958,Not Elected,51510,"0,115666861",,,,,
Sarlahi,Janakpur,Terai,Central,78,3,Sumitra Devi Raya Yadav,Tarai Madhes Loktantrik Party,11868,Elected,49850,"0,238074223","0,025697091",,,,
Sarlahi,Janakpur,Terai,Central,78,3,Hari Prasad Upreti,Communist Party of Nepal (UML),10587,Not Elected,49850,"0,212377131",,,,,
Sarlahi,Janakpur,Terai,Central,79,4,Rajendra Mahato,Sadhvawana Party,17073,Elected,,#DIV/0!,#DIV/0!,,,,
Sarlahi,Janakpur,Terai,Central,79,4,n/A,n/A,n/a,n/a,,#WERT!,,,,,
Sarlahi,Janakpur,Terai,Central,80,5,Khobhari Raya,Sadhvawana Party,13142,Elected,,#DIV/0!,#DIV/0!,,,,
Sarlahi,Janakpur,Terai,Central,80,5,n/A,n/A,n/a,n/a,,#WERT!,,,,,
Sarlahi,Janakpur,Terai,Central,81,6,Shiva Pujan Raya Yadav,"Madhesi People's Rights Forum, Nepal",15688,Elected,52053,"0,301385127","0,269398498",,,,
Sarlahi,Janakpur,Terai,Central,81,6,Abadhesh Prasad Singh,Communist Party of Nepal (UML),1665,Not Elected,52053,"0,031986629",,,,,
Rasuwa,Bagmati,Mountain,Central,82,1,Prem Bahadur Tamang,Communist Party of Nepal (Maoists),11147,Elected,22190,"0,502343398","0,339567373","33,96%","33,96%",1,
Rasuwa,Bagmati,Mountain,Central,82,1,Bal Chandra Poudel,Nepali Congress,3612,Not Elected,22190,"0,162776025",,,,,
Dhading,Bagmati,Hill,Central,83,1,Puspa Bikram Malla,Communist Party of Nepal (Maoists),29555,Elected,51600,"0,572771318","0,399515504","73,89%","24,63%",1,
Dhading,Bagmati,Hill,Central,83,1,Dil Man Pakhrin,Nepali Congress,8940,Not Elected,51600,"0,173255814",,,,,
Dhading,Bagmati,Hill,Central,84,2,Kalpana Dhamala,Communist Party of Nepal (Maoists),20730,Elected,62352,"0,332467283","0,037256223",,,,
Dhading,Bagmati,Hill,Central,84,2,Ram Nath Adhikari,Nepali Congress,18407,Not Elected,62352,"0,29521106",,,,,
Dhading,Bagmati,Hill,Central,85,3,Shalik Ram Jamarkattel,Communist Party of Nepal (Maoists),25075,Elected,54474,"0,460311341","0,30208907",,,,
Dhading,Bagmati,Hill,Central,85,3,Dr. Raja Ram Karki Chhetri,Nepali Congress,8619,Not Elected,54474,"0,158222271",,,,,
Nuwakot,Bagmati,Hill,Central,86,1,Bimala Subedi,Communist Party of Nepal (Maoists),20581,Elected,49252,"0,417871355","0,154247543","18,80%","9,28%",0.66,
Nuwakot,Bagmati,Hill,Central,86,1,Arjun Narsingh K.C.,Nepali Congress,12984,Not Elected,49252,"0,263623812",,,,,
Nuwakot,Bagmati,Hill,Central,87,2,Dr. Ramsharan Mahat,Nepali Congress,17442,Elected,43552,"0,400486774","0,00238795",,,,
Nuwakot,Bagmati,Hill,Central,87,2,Hit Bahadur Tamang,Communist Party of Nepal (Maoists),17338,Not Elected,43552,"0,398098824",,,,,
Nuwakot,Bagmati,Hill,Central,88,3,Posta Bahadur Bogati,Communist Party of Nepal (Maoists),16735,Elected,45385,"0,368734163","0,036135287",,,,
Nuwakot,Bagmati,Hill,Central,88,3,Bahadur Sing Lama Tamang,Nepali Congress,15095,Not Elected,45385,"0,332598876",,,,,
Kathmandu,Bagmati,Hill,Central,89,1,Prakash Man Singh,Nepali Congress,14318,Elected,29435,"0,486427722","0,255783931","-25,41%","-0,59%",0.4,
Kathmandu,Bagmati,Hill,Central,89,1,Pradip Nepal,Communist Party of Nepal (UML),6789,Not Elected,29435,"0,230643791",,,,,
